218,y,stand by me,1986,amazon,english,99
219,y,rush,2013,netflix,english,123
220,y,network,1976,,,0
221,n,before sunset,2004,amazon,english,80
222,y,into the wild,2007,,,0
223,y,wizard of oz,1939,,,0
224,y,best years of our lives,1946,prime,english,170
225,y,groundhog day,1993,,,0
226,y,the exorcist,1973,hbo max,english,122
227,y,the incredibles,2004,,,0
228,n,la haine,1995,amazon,french,98
229,n,to be or not to be,1942,hbo max,english,99
230,n,pather panchali,1955,hbo max,bengali,125
231,y,curse of the black pearl,2003,amazon,english,143
232,n,grapes of wrath,1940,amazon,english,129
233,n,hachi,2009,netflix,english,93
234,y,battle of agliers,1966,hbo max,arabic,121
235,n,jai bhim,2021,prime,tamil,164
236,n,my father and my son,2005,amazon,turkish,112
237,n,amores perros,2000,tubi,spanish,154
238,n,rebecca,1940,amazon,english,130
239,y,cool hand luke,1967,,,0
240,y,handmaiden,2016,amazon,korean,145
241,y,400 blows,1959,hbo max,french,99
242,n,sound of music,1965,amazon,english,172
243,n,happened one night,1934,amazon,english,105
244,y,persona,1966,hbo max,sweedish,0
245,y,life of brian,1979,netflix,english,94
246,y,iron giant,1999,,,0
247,y,the help,2011,tubi,english,146
248,y,12th fail,2023,amazon,english,142
249,y,aladdin,1992,,,0
250,y,dances with wolves,1990,showtime,english,0
